ID,start,end,code,label/0/group,label/0/text,label/1/group,label/1/text,label/2/group,label/2/text,pos_x,pos_y
795,2263.42,2283.42,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Challenges (won),Half,1st half,78.9,48.2
796,2263.42,2283.42,25. Kemal Osmankovic,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,26.1,19.8
797,2263.68,2283.68,25. Kemal Osmankovic,Team,NK Lokomotiva,Action,Fouls,Half,1st half,26.1,19.8
798,2314.36,2334.36,39. Damjan Bohar,Team,NK Osijek,Action,Passes accurate,Half,1st half,78.9,48.2
799,2315.19,2335.19,8. Oliver Petrak,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,11.5,37.5
800,2315.19,2335.19,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Challenges (won),Half,1st half,93.5,30.5
801,2316.49,2336.49,8. Oliver Petrak,Team,NK Lokomotiva,Action,Errors leading to goal,Half,1st half,9.1,39.9
802,2316.49,2336.49,8. Oliver Petrak,Team,NK Lokomotiva,Action,Errors,Half,1st half,9.1,39.9
803,2316.62,2336.62,8. Oliver Petrak,Team,NK Lokomotiva,Action,Fouls,Half,1st half,9.8,40.6
804,2316.62,2336.62,8. Oliver Petrak,Team,NK Lokomotiva,Action,Penalty,Half,1st half,9.8,40.6
805,2386.48,2436.48,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Goals,Half,1st half,94.0,34.0
806,2386.48,2436.48,12. Krunoslav Hendija,Team,NK Lokomotiva,Action,Goals conceded,Half,1st half,11,34
807,2401.48,2421.48,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Penalty,Half,1st half,94.0,34.0
808,2459.06,2479.06,36. Marko Dira,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,33.0,38.9
809,2462.18,2482.18,3. Stipo Markovic,Team,NK Lokomotiva,Action,Lost balls,Half,1st half,91.0,44.1
810,2462.18,2482.18,3. Stipo Markovic,Team,NK Lokomotiva,Action,Passes (inaccurate),Half,1st half,35.4,65.1
811,2466.76,2486.76,1. Ivica Ivusic,Team,NK Osijek,Action,Interceptions,Half,1st half,14.0,23.9
812,2479.73,2499.73,1. Ivica Ivusic,Team,NK Osijek,Action,Passes accurate,Half,1st half,22.4,24.0
813,2483.35,2503.35,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Challenges (won),Half,1st half,61.9,28.7
814,2483.35,2503.35,8. Oliver Petrak,Team,NK Lokomotiva,Action,Air challenges (lost),Half,1st half,43.1,39.3
815,2483.35,2503.35,8. Oliver Petrak,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,43.1,39.3
816,2483.35,2503.35,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Air challenges (won),Half,1st half,61.9,28.7
817,2483.35,2503.35,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Passes accurate,Half,1st half,61.9,28.7
818,2486.56,2506.56,9. Ante Erceg,Team,NK Osijek,Action,Passes accurate,Half,1st half,67.7,3.5
819,2490.44,2510.44,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes accurate,Half,1st half,44.2,7.5
820,2493.74,2513.74,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,39.0,43.1
821,2497.61,2517.61,20. Mario Jurcevic,Team,NK Osijek,Action,Passes accurate,Half,1st half,39.2,50.9
822,2500.3,2520.3,1. Ivica Ivusic,Team,NK Osijek,Action,Passes accurate,Half,1st half,14.1,36.2
823,2509.15,2529.15,22. Danijel Loncar,Team,NK Osijek,Action,Passes accurate,Half,1st half,43.4,15.6
824,2510.03,2530.03,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Challenges (won),Half,1st half,63.8,26.6
825,2510.03,2530.03,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Passes accurate,Half,1st half,63.8,26.6
826,2510.03,2530.03,6. Dominik Kovacic,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,41.2,41.4
827,2512.15,2532.15,25. Marin Pilj,Team,NK Osijek,Action,Lost balls,Half,1st half,77.2,14.3
828,2512.15,2532.15,25. Marin Pilj,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,66.1,4.2
829,2512.88,2532.88,3. Stipo Markovic,Team,NK Lokomotiva,Action,Interceptions,Half,1st half,27.8,53.7
830,2512.88,2532.88,3. Stipo Markovic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,27.8,53.7
831,2514.56,2534.56,8. Oliver Petrak,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,38.6,58.6
832,2515.07,2535.07,3. Stipo Markovic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,33.3,53.5
